Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$220,000",, 1, Bolingbrook High School,400 Falconridge Way 60440,3.0,1.5,"1,700",,, 1, 1, 14, 2,,,," $5,682.10", 8

Single Family Residential,,1971,,,"$100,000",,,,459 Sioux Dr 60440,,1,"1,149",,,,, 0, 0,,,,,

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$235,000",, 2,,596 Buckboard Rd 60490,3.0,2.5,"1,700",,, 2, 1, 0, 0,,,," $7,031", 8

"Detached Single Family, Raised Ranch",,1971,Bolingbrook,,"$299,900",, 2, Bolingbrook High School,8 Dorchester Ct 60440,5.0,3,"2,050",,, 3,, 6, 12,,,," $6,331", 9

"Attached Single Family, Townhouse (2 Story)",$138/month,1972,Bolingbrook,,"$152,000",, 1,,453 Seminole Ln 60440,3.0,1.5,"1,149",,, 1, 1, 2, 0,,,," $3,261.06", 4

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$210,000",, 2, Bolingbrook High School,180 N Schmidt Rd 60440,4.0,2,"1,865",,, 2,, 14, 0,,,," $5,685", 9

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$222,500",, 2, Bolingbrook High School,8 Wagonwheel Ct 60490,3.0,2.5,"1,500",,, 2, 1, 0, 6,,,," $5,544.94", 6

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$365,000",, 2, Plainfield East High School,768 Wheatland Ln 60490,4.0,3.5,"2,500",,, 3, 1, 16, 4,,,," $8,009.38", 10

"Attached Single Family, Townhouse (2 Story)",$341/month,1974,Woodridge,,"$139,000",, 2,,2008 Country Club Dr 60517,2.0,2,"1,174",,, 1, 2, 0, 0,,,," $1,816", 5

"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$279,000",, 2, Bolingbrook High School,226 Clubhouse St 60490,4.0,2.5,"2,300",,, 2, 1, 12, 8,,,," $10,657", 9

"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$260,000",, 2, Bolingbrook High School,541 Hampshire Ln 60440,5.0,3,"2,050",,, 3,, 12, 2,,,," $6,728.30", 9

"Detached Single Family, Raised Ranch",,1974,Bolingbrook,,"$304,000",, 2,,445 Nassau Ave 60440,5.0,3,"2,270",,, 3,, 6, 0,,,," $4,653", 9

"Detached Single Family, 1.5 Story",,1972,Bolingbrook,,"$185,000",, 2, Bolingbrook High School,219 Winston Dr 60440,4.0,2.5,"1,915",,, 2, 1, 14, 0,,,," $7,021.80", 8

"Detached Single Family, 2 Stories",,1991,Bolingbrook,,"$346,000",, 4, Bolingbrook High School,310 Blackfoot Dr 60490,4.0,3.5,"3,159",,, 3, 1, 0, 18,,,," $10,861.96", 10

"Attached Single Family, Courtyard, Townhouse (2 Story)",$152/month,1968,Bolingbrook,,"$159,999",, 2,,135 Jamestown Ln 60440,3.0,2.5,"1,298",,, 2, 1, 0, 0,,,," $2,631.36", 7

"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$302,000",, 2, Bolingbrook High School,1434 Mesa Dr 60490,4.0,2.5,"2,550",,, 2, 1, 18, 2,,,," $8,838.92", 13

"Attached Single Family, Townhouse (2 Story)",$199/month,1979,Bolingbrook,,"$164,900",, 1,,125 Pamela Dr 60440,3.0,1.5,"1,180",,, 1, 1, 6, 0,,,," $5,142.30", 7

"Detached Single Family, 2 Stories",$18/month,2004,Bolingbrook,,"$336,900",, 2, Plainfield East High School,800 Madison Blvd 60490,4.0,2.5,"2,915",,, 2, 1, 18, 0,,,," $10,645.38", 10

"Detached Single Family, 2 Stories",$42/month,2014,Bolingbrook,,"$950,000",, 4, Plainfield East High School,1217 Bush Blvd 60490,6.0,7,"8,758",,, 6, 2, 16, 8,,,," $24,937.70", 15

Condo/Co-op,,,,,"$70,000",,,,272 Canterbury Ln 60440,2.0,,,,,,, 0, 0,,,,, 5

"Detached Single Family, 2 Stories",,1969,Bolingbrook,,"$205,000",, 1,,140 Pacific Dr 60440,3.0,1.5,"1,860",,, 1, 1, 0, 0,,,," $4,580.66", 6

"Detached Single Family, Split-Level",,1964,Bolingbrook,,"$235,000",, 1,,101 Seabury Rd 60440,3.0,1.5,"1,932",,, 1, 1, 12, 0,,,," $5,214.44", 8

"Detached Single Family, 2 Stories",$8/month,2003,Bolingbrook,,"$378,900",, 3,,1409 Aster Ln 60490,4.0,2.5,"3,363",,, 2, 1, 0, 0,,,," $12,968.86", 9

"Detached Single Family, 2 Stories",,2006,Bolingbrook,,"$341,900",, 3,,218 Homewood Dr 60440,4.0,3.5,"2,594",,, 3, 1, 0, 20,,,," $9,419", 9

"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$223,000",, 2, Bolingbrook High School,504 Nassau Ave 60440,5.0,3,"2,050",,, 3,, 0, 0,,,," $7,079.34", 9

"Attached Single Family, Townhouse (2 Story)",$218/month,2004,Bolingbrook,,"$212,000",, 2, Bolingbrook High School,140 Enclave Cir 60440,3.0,2.5,"1,464",,, 2, 1, 12, 0,,,," $4,315", 7

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$265,000",, 2,,443 Long Ln 60440,3.0,2.5,"2,012",,, 2, 1, 8, 0,,,," $6,548", 6

Condo,$161/month,1994,Bolingbrook,,"$162,900",, 2,,305 Arbor Ct 60440,2.0,1.5,"1,032",,, 1, 1, 6, 0,,,," $3,413.84", 4

"Detached Single Family, 2 Stories",$33/month,2006,Bolingbrook,,"$479,500",, 3, Neuqua Valley High School,1847 Raes Creek Dr 60490,5.0,3.5,"3,637",,, 3, 1, 18, 6,,,," $11,785.60", 10

"Detached Single Family, 2 Stories",$29/month,2015,Bolingbrook,,"$334,900",, 3, Plainfield East High School,2188 Misty Creek Trl 60490,4.0,2.5,"2,414",,, 2, 1, 14, 4,,,," $7,599.32", 9

Other,,1973,,,"$237,500",,,,546 Hampshire Ln 60440,,2,"1,587",,,,, 0, 0,,,,,

"Detached Single Family, 2 Stories",,2001,Bolingbrook,,"$352,000",, 2, Bolingbrook High School,497 Pheasant Chase Dr 60490,4.0,3.5,"2,328",,, 3, 1, 12, 10,,, 950," $8,819", 11

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$215,000",, 5.5, Bolingbrook High School,253 Butternut Dr 60440,4.0,2,"1,400",,, 2,, 10, 0,,,," $5,212.88", 7

"Detached Single Family, 1 Story",,1974,Bolingbrook,,"$151,500",, 2, Bolingbrook High School,863 Tamms Ln 60440,3.0,1,"1,064",,, 1,, 0, 0,,,," $4,685.14", 6

Condo,$189/month,2004,Bolingbrook,,"$203,000",, 2,,134 Enclave Cir 60440,2.0,1.5,"1,441",,, 1, 1, 6, 0,,,," $4,474", 7

"Detached Single Family, 2 Stories",$30/month,2003,Bolingbrook,,"$275,900",, 2, Bolingbrook High School,179 Holly St 60490,4.0,2.5,"2,470",,, 2, 1, 16, 2,,,," $10,968.58", 9

"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$224,900",, 1, Bolingbrook High School,229 Lafayette Dr 60440,3.0,2,"1,418",,, 2,, 10, 6,,,," $5,017.30", 6

"Detached Single Family, 2 Stories",,1965,Bolingbrook,,"$182,000",, 1, Bolingbrook High School,205 Lawton Ln 60440,5.0,2,"1,609",,, 2,, 6, 0,,,," $5,973", 7

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$295,000",, 2,,1354 Glenside Dr 60490,5.0,3,"2,700",,, 3,, 14, 0,,, 1487," $8,297.54", 10

"Detached Single Family, 2 Stories",,1978,Bolingbrook,,"$316,000",, 2.5, Bolingbrook High School,1058 Churchill Dr 60440,4.0,2.5,"2,276",,, 2, 1, 0, 16,,,," $7,397.19", 8

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$290,000",, 2,,517 Vanessa Ln 60440,3.0,2.5,"2,250",,, 2, 1, 4, 0,,,," $7,588", 7

Single Family Residential,,2003,,,"$285,000",,,,188 Glendale Dr 60440,4.0,2.5,"2,713",,,,, 0, 0,,,,,

"Detached Single Family, 1 Story",,1963,Bolingbrook,,"$170,000",, 2, Bolingbrook High School,184 N Pinecrest Rd 60440,4.0,1.5,"1,489",,, 1, 1, 10, 0,,,," $5,722", 6

"Detached Single Family, 1 Story",,1973,Bolingbrook,,"$203,050",, 1, Bolingbrook High School,135 Shady Ln 60440,4.0,1.5,"1,264",,, 1, 1, 10, 0,,,," $5,686.02", 8

"Detached Single Family, 2 Stories",$35/month,2004,Bolingbrook,,"$444,900",, 3, Bolingbrook High School,435 York St 60440,4.0,3,"4,960",,, 2, 2, 22, 2,,,," $12,319.30", 13

"Detached Single Family, Raised Ranch",,1963,Bolingbrook,,"$233,000",, 2, Bolingbrook High School,232 Vernon Dr 60440,4.0,2,"1,750",,, 2,, 4, 10,,,," $5,458.42", 8

"Detached Single Family, 2 Stories",$17/month,2014,Bolingbrook,,"$426,000",, 3, Plainfield East High School,532 Regal Ln 60490,4.0,2.5,"3,192",,, 2, 1, 12, 8,,, 1657," $10,561", 10

Condo,$162/month,2004,Bolingbrook,,"$205,750",, 2, Bolingbrook High School,1470 Envee Dr 60490,2.0,2.5,"1,438",,, 2, 1, 10, 0,,,," $5,939.74", 6

"Attached Single Family, Townhouse (Ranch)",$252/month,2011,Bolingbrook,,"$355,000",, 2, Plainfield East High School,1195 John Hancock Dr 60490,3.0,3,"2,828",,, 3,, 8, 12,,, 1098," $7,395", 9

"Detached Single Family, 1 Story",,,Bolingbrook,,"$225,000",, 2,,282 Seabury Rd 60440,3.0,2,"1,372",,, 2,, 0, 0,,,," $5,262.70", 7

"Detached Single Family, 2 Stories",,1980,Bolingbrook,,"$238,000",, 2, Bolingbrook High School,1012 Commonwealth Ct 60440,4.0,2.5,"1,874",,, 2, 1, 12, 0,,,," $6,433", 8

"Attached Single Family, Townhouse (2 Story)",$170/month,1993,Bolingbrook,,"$225,000",, 2, Bolingbrook High School,417 Van Gogh Cir 60440,2.0,2.5,"1,971",,, 2, 1, 0, 10,,,," $6,140.40", 7

Other,,1964,,,"$220,000",,,,109 Staunton Ct 60440,5.0,2.5,"1,582",,,,, 0, 0,,,,, 8

"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$312,500",, 2,,106 N Vincent Dr 60490,3.0,2.5,"2,250",,, 2, 1, 8, 6,,,," $7,970.72", 9

"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$226,000",, 2, Bolingbrook High School,557 Cottonwood Cir 60440,3.0,2,"2,021",,, 2,, 8, 0,,,," $5,788.50", 7

"Detached Single Family, Raised Ranch",,1977,Bolingbrook,,"$230,000",, 2,,320 Lacrosse Dr 60440,3.0,1.5,"1,768",,, 1, 1, 0, 0,,,," $5,485.56", 9

"Attached Single Family, Townhouse (2 Story)",$190/month,1977,Bolingbrook,,"$129,900",, 2,,4 Fernwood Dr 60440,3.0,1.5,"1,314",,, 1, 1, 0, 0,,,," $3,543.56", 6

"Attached Single Family, 1/2 Duplex",,1976,Bolingbrook,,"$132,000",, 1,,336 Delaware Dr 60440,3.0,1.5,"1,200",,, 1, 1, 2, 0,,,," $2,783", 6

"Detached Single Family, Split-Level with Sub-Basement",,1992,Bolingbrook,,"$300,000",, 2, Bolingbrook High School,301 Vista Dr 60490,3.0,2,"1,700",,, 2,, 4, 12,,, 1139," $7,182.26", 8

"Detached Single Family, Raised Ranch",,1969,Bolingbrook,,"$220,000",, 1.5, Bolingbrook High School,259 N Ashbury Ave 60440,3.0,1.5,"1,300",,, 1, 1, 8, 8,,,," $4,146", 7

"Detached Single Family, 1 Story",,1971,Bolingbrook,,"$120,000",, 2, Bolingbrook High School,149 Valley Dr 60440,3.0,1,,,, 1,, 6, 0,,,," $2,828", 5

"Detached Single Family, 1 Story",,1979,Bolingbrook,,"$183,500",, 1, Bolingbrook High School,695 Niagara Dr 60440,3.0,1,"1,096",,, 1,, 6, 0,,,," $4,927", 5

"Detached Single Family, Split-Level",,1989,Bolingbrook,,"$250,000",, 10.5, Bolingbrook High School,709 Rockhurst Rd 60440,4.0,2,"2,075",,, 2,, 0, 14,,,," $7,192.86", 9

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$362,000",, 3, Bolingbrook High School,5 Burr Oaks Ct 60440,6.0,3.5,"2,892",,, 3, 1, 12, 14,,,," $11,127.28", 11

Single Family Residential,,1973,,,"$245,000",,,,353 Sherwood Ct 60440,3.0,2,"1,755",,,,, 0, 0,,,,,

"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$255,000",, 2, Bolingbrook High School,491 Rebecca Ln 60440,3.0,2.5,"2,246",,, 2, 1, 10, 0,,,," $7,194.12", 8

"Detached Single Family, 2 Stories",,1972,Bolingbrook,,"$245,000",, 2,,230 Davis Ln 60440,3.0,2.5,"2,052",,, 2, 1, 6, 12,,,," $6,236.16", 7

Single Family Residential,,1971,,,"$90,000",,,,460 Sauk Ln 60440,,1,"1,149",,,,, 0, 0,,,,,

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$310,000",, 2, Bolingbrook High School,112 N Vincent Dr 60490,4.0,2.5,"2,645",,, 2, 1, 14, 6,,,," $9,440.22", 10

"Detached Single Family, 2 Stories",,2004,Bolingbrook,,"$350,000",, 3,,261 Hanburg Ln 60440,5.0,3,"3,749",,, 3,, 0, 0,,,," $11,118.14", 9

"Attached Single Family, Townhouse (2 Story)",$199/month,1972,Bolingbrook,,"$120,000",, 1,,519 Racine Ln 60440,2.0,1.5,"1,180",,, 1, 1, 6, 0,,,," $3,737.38", 6

Single Family Residential,,2007,,,"$455,000",,,,2418 River Hills Ln 60490,5.0,5,"4,219",,,,, 0, 0,,,,, 16

"Attached Single Family, Townhouse (2 Story)",$140/month,1974,Bolingbrook,,"$150,336",, 1,,336 Pinto Dr 60440,3.0,1.5,"1,458",,, 1, 1, 6, 0,,, 0," $5,134", 7

Single Family Residential,,1979,,,"$75,000",,,,451 Wyeth Ct 60440,2.0,1.5,"1,171",,,,, 0, 0,,,,, 6

Other,,2005,,,"$357,300",,,,331 Osage Dr 60490,,3.5,"3,036",,,,, 0, 0,,,,,

"Attached Single Family, Townhouse (2 Story)",$231/month,2000,Bolingbrook,,"$207,000",, 2,,1146 Lily Field Ln 60440,3.0,3.5,"1,517",,, 3, 1, 6, 8,,,," $6,285.08", 8

"Attached Single Family, Townhouse (2 Story)",,1994,Bolingbrook,,"$192,000",, 2,,300 Picardy Ln 60440,2.0,2.5,"1,322",,, 2, 1, 0, 0,,,," $5,844.08", 5

"Detached Single Family, 2 Stories",$17/month,2012,Bolingbrook,,"$364,900",, 3, Plainfield East High School,1894 Barrington Ave 60490,4.0,2.5,"2,400",,, 2, 1, 14, 4,,,," $8,761", 8

"Detached Single Family, 2 Stories",$25/month,1999,Bolingbrook,,"$295,000",, 2.5, Plainfield East High School,1448 Waterside Dr 60490,4.0,2.5,"2,108",,, 2, 1, 0, 0,,,," $6,963.98", 8

Condo,$132/month,1972,Bolingbrook,,"$137,500",, 2, Bolingbrook High School,2 Fernwood Dr 60440,4.0,1,"1,188",,, 1,, 0, 0,,,," $2,584.10", 6

"Detached Single Family, 2 Stories",$29/month,2016,Bolingbrook,,"$374,000",, 3, Plainfield East High School,2437 River Hills Ln 60490,4.0,2.5,"2,664",,, 2, 1, 10, 12,,, 1124," $8,518.44", 10

"Detached Single Family, 1 Story",,1961,Bolingbrook,,"$208,000",, 2,,200 Glengary Dr 60440,3.0,2,"1,200",,, 2,, 6, 0,,,," $4,318.86", 6

"Detached Single Family, 2 Stories",$28/month,2005,Bolingbrook,,"$368,000",, 2, Bolingbrook High School,378 Hogan St 60490,5.0,2.5,,,, 2, 1, 0, 2,,,," $13,466.44", 9

"Detached Single Family, 1 Story",,1993,Bolingbrook,,"$329,900",, 2, Bolingbrook High School,738 Feather Sound Dr 60440,4.0,3,"2,089",,, 3,, 8, 14,,,," $11,301.38", 7

"Attached Single Family, Townhouse (3+ Story)",$223/month,2003,Bolingbrook,,"$185,000",, 2, Bolingbrook High School,137 Enclave Cir 60440,2.0,1.5,"1,494",,, 1, 1, 0, 0,,,," $4,501.90", 6

"Detached Single Family, 1.5 Story",,1978,Bolingbrook,,"$240,000",, 2,,128 N Commonwealth Dr 60440,3.0,1.5,"1,875",,, 1, 1, 6, 0,,,," $6,250.28", 7

"Detached Single Family, 1.5 Story",,1963,Bolingbrook,,"$226,000",, 4, Bolingbrook High School,101 Stoneham Ct 60440,5.0,2,"1,888",,, 2,, 0, 0,,,," $6,154.64", 9

"Detached Single Family, Split-Level",,1978,Bolingbrook,,"$277,000",, 2, Bolingbrook High School,6 Pinecrest Ct 60440,4.0,2,"2,508",,, 2,, 12, 0,,,," $5,328", 9

"Attached Single Family, Townhouse (2 Story)",$190/month,,Bolingbrook,,"$142,000",, 2,,31G Fernwood Dr 60440,3.0,1.5,"1,254",,, 1, 1, 0, 0,,,," $2,836.56", 6

Condo,$190/month,1978,Bolingbrook,,"$135,000",, 2,,21D S Fernwood Dr 60440,3.0,1.5,"1,296",,, 1, 1, 6, 4,,,," $3,040.02", 6

"Detached Single Family, 2 Stories",$42/month,2005,Bolingbrook,,"$576,000",, 3, Plainfield East High School,1912 Eisenhower Ln 60490,6.0,4.5,"4,789",,, 4, 1, 16, 6,,,," $16,448", 11

"Detached Single Family, 1 Story",,1961,Bolingbrook,,"$185,000",, 3, Bolingbrook High School,156 Fairwood Dr 60440,3.0,2,"1,162",,, 2,, 0, 14,,,," $3,782.36", 6

"Detached Single Family, 1.5 Story",,1964,Bolingbrook,,"$225,000",, 2, Bolingbrook High School,254 Seabury Rd 60440,4.0,1.5,"1,200",,, 1, 1, 0, 0,,,," $5,422", 6

"Attached Single Family, Townhouse (2 Story)",$193/month,1971,Bolingbrook,,"$165,000",, 1,,113 Julie Rd 60440,2.0,2.5,"1,460",,, 2, 1, 0, 0,,, 575," $4,539.14", 6

