Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Single Family Residential,$4/month,1986,Winding Creek,,"$589,000","$3,782", 2.5, Naperville Central High School,402 W Bailey Rd 60565,4.0,2.5,"2,893"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 0, Full, Unfinished,," $10,150.44"
Single Family Residential,,1987,Cedar Glen,,"$449,000","$2,905", 2, Neuqua Valley High School,548 Beaconsfield Ave 60565,3.0,2.5,"2,119"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 2, Partial," Finished,Crawl", 400," $8,038"
Single Family Residential,,1996,Brookwood Trace,,"$650,000","$4,259", 3, Neuqua Valley High School,2416 Litchfield Ct 60565,4.0,2.5,"3,056"," Natural Gas, Forced Air", Central Air, 2, 1, 11, 3, Partial, Finished," 1,664"," $12,272.22"
Single Family Residential,,1984,Pepper Place,,"$350,000","$2,171", 2, Naperville Central High School,2319 Wayland Ln 60565,3.0,2,"1,150"," Natural Gas, Forced Air", Central Air, 2,, 5, 0, Full, Finished,," $5,149.42"
Single Family Residential,$13/month,1976,Hobson Village,,"$425,000","$2,906", 2,,1113 S Charles Ave 60540,3.0,2.5,"1,946", Natural Gas, Central Air, 2, 1, 3, 2, Full, Finished, 986," $9,324.36"
Single Family Residential,,1961,Moser Highlands,,"$474,900","$3,035", 2, Naperville Central High School,4 Butternut Dr 60540,4.0,3,"2,825", Natural Gas, Central Air, 3,, 7, 2, English," Partially Finished,Lookout,Rec/Family Area,Sleeping Area,Storage Space",," $8,046.90"
Townhouse,$275/month,2012,Mayfair,,"$375,000","$2,687", 2, Metea Valley High School,2526 Dunraven Ave 60540,3.0,2.5,"1,559", Natural Gas, Central Air, 2, 1, 3, 5," Full, English"," Finished,Exterior Access", 350," $6,545.24"
Single Family Residential,,1968,Maplebrook II,,"$459,900","$2,996", 2, Naperville Central High School,1556 Killdeer Dr 60565,5.0,2.5,"2,236", Natural Gas, Central Air, 2, 1, 2, 7, Full," Partially Finished,Rec/Family Area,Storage Space"," 1,300"," $8,473"
Single Family Residential,,1973,Maplebrook II,,"$469,900","$3,041", 2, Naperville Central High School,45 Drendel Ln 60565,4.0,2.5,"2,184"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 5, Full," Finished,Crawl", 918," $8,418.84"
Single Family Residential,,2018,Naperville,,"$1,249,000","$6,256", 4, Neuqua Valley High School,3956 Caliente Cir 60564,6.0,5.5,"4,387", Natural Gas, Zoned, 5, 1, 9, 6, Full, Finished,, $463.88
Single Family Residential,,1979,Creekside,,"$699,000","$4,364", 2, Naperville North High School,829 Zaininger Ave 60563,4.0,2.5,"2,796"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 2, Partial, Partially Finished, 668," $10,613.14"
Single Family Residential,,1981,Brookdale,,"$285,000","$1,985", 1, Metea Valley High School,1801 Paxton Dr 60563,3.0,1.5,"1,540"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Partial, Unfinished, 600," $6,790.64"
Single Family Residential,,1960,Burr Oaks,,"$600,000","$3,724", 2, Naperville Central High School,8S275 Indiana Ave 60540,4.0,4,"2,078"," Natural Gas, Forced Air", Central Air, 4,, 2, 6, Full," Finished,Crawl,Egress Window"," 1,244"," $8,844.88"
Condo,$649/month,1986,Riverplace,,"$279,000","$2,472", 2, Naperville Central High School,511 Aurora Ave 60540,1.0,1,"1,015"," Natural Gas, Forced Air, Radiant", Central Air, 1,, 0, 0,, None,," $5,211"
Condo,$309/month,1981,Highpoint,,"$224,900","$1,779", 1, Naperville North High School,2789 Weeping Willow Dr 60532,2.0,1.5,"1,248"," Natural Gas, Forced Air", Central Air, 1, 1, 3, 2, English," Partially Finished,Crawl",," $4,207.80"
