Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Townhouse,$282/month,2002,Naperville,"$239,900","$239,900","$1,842", 1, Metea Valley High School,2578 Golf Ridge Cir 60563,2.0,2.5,"1,412"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, Slab,," $4,384.12"
Single Family Residential,,1982,Buttonwood,"$690,000","$690,000","$4,382", 2, Metea Valley High School,604 Joshua Ct 60540,4.0,2.5,"2,812"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 8, Full, Partially Finished,," $11,367.22"
Single Family Residential,$25/month,1995,River Run,"$714,900","$714,900","$4,629", 3, Neuqua Valley High School,1604 Dublin Dr 60564,4.0,3,"2,882"," Natural Gas, Forced Air", Central Air, 2, 2, 5, 5, English," Partially Finished,Crawl,Egress Window",," $12,539.72"
Single Family Residential,$19/month,1993,Rose Hill Farm,"$625,000","$625,000","$4,015", 2, Neuqua Valley High School,3827 Celeste Ln 60564,5.0,3.5,"2,915", Natural Gas, Central Air, 3, 1, 9, 1, Full," Finished,Other,Rec/Family Area,Storage Space",," $10,617.02"
Single Family Residential,$8/month,1990,Knoch Knolls,"$717,500","$717,500","$4,732", 3,,2795 Spinner Ct 60565,4.0,3.5,"3,906"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 6," Partial, English"," Finished,Crawl"," 1,239"," $13,827.12"
Single Family Residential,,1966,Maplebrook,"$474,900","$474,900","$3,082", 2, Naperville Central High School,1340 Killdeer Dr 60565,4.0,2.5,"2,146"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 6, Full," Partially Finished,Storage Space"," 1,073"," $8,617.46"
Single Family Residential,,1953,Naperville,"$1,625,000","$1,625,000","$9,940", 2.5, Naperville North High School,24 Donwood Dr 60540,3.0,2,"2,028"," Natural Gas, Forced Air", Central Air, 2,, 2, 0,, None,," $22,207.80"
Single Family Residential,$17/month,1998,Prairie Ridge,"$797,500","$797,500","$5,040", 3, Naperville Central High School,419 Pickerel Ct 60565,4.0,3.5,"3,646"," Natural Gas, Forced Air, Zoned"," Zoned, Dual", 3, 1, 8, 2, Full, Unfinished,," $12,628.82"
Townhouse,$260/month,1994,Heartlands,"$289,900","$289,900","$2,138", 2, Neuqua Valley High School,1924 Tamahawk Ln 60564,2.0,1.5,"1,286"," Natural Gas, Forced Air", Central Air, 1, 1, 2, 0,, Crawl,," $5,221"
Single Family Residential,,1975,Naperville,"$385,000","$385,000","$2,429", 2, Neuqua Valley High School,10S126 Ridge Rd 60565,4.0,2.5,"2,205"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial," Partially Finished,Crawl", 721," $6,144.88"
Single Family Residential,$49/month,1979,Hobson West,"$575,000","$575,000","$3,699", 2, Naperville Central High School,809 Shiloh Cir 60540,4.0,2.5,"2,086"," Natural Gas, Forced Air", Central Air, 2, 1, 1, 7, Full, Unfinished,," $9,450.14"
Townhouse,$353/month,1998,Naperville,"$400,000","$400,000","$2,869", 2, Naperville North High School,737 Prescott Ct 60563,3.0,2.5,"2,091"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, English, Finished,," $6,292.16"
Townhouse,$180/month,1974,Pebblewood,"$379,000","$379,000","$2,460", 2, Metea Valley High School,35 Pebblewood Trl 60563,3.0,2.5,"1,727"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 6, Full, Finished, 835," $4,714.96"
Single Family Residential,$48/month,2014,Ashwood Pointe,"$649,900","$649,900","$4,259", 2, Waubonsie Valley High School,3707 Birch Ln 60564,5.0,3.5,"3,213"," Natural Gas, Forced Air", Central Air, 3, 1, 6, 3, Full," Unfinished,Bathroom Rough-In",," $11,712.98"
Single Family Residential,$113/month,2012,Sutton Place,"$1,365,000","$1,365,000","$8,338", 4, Neuqua Valley High School,2648 Sutton Cir 60564,6.0,5.5,"9,750", Electric, Central Air, 5, 1, 5, 7," Full, Walkout"," Finished,Exterior Access,Egress Window",," $17,160.40"
Single Family Residential,$53/month,1980,Naperville,"$625,000","$625,000","$4,066", 2, Naperville Central High School,825 Shiloh Cir 60540,4.0,2.5,"2,842", Natural Gas, Central Air, 2, 1, 0, 8, Full, Partially Finished," 1,300"," $10,824.82"
Condo,$512/month,1986,Riverplace,"$257,000","$257,000","$2,115", 2, Naperville Central High School,511 Aurora Ave 60540,1.0,1,890, Electric, Central Air, 1,, 1, 4,, Slab,," $3,887.94"
Single Family Residential,$19/month,1998,Clow Creek,"$564,900","$564,900","$3,777", 3, Neuqua Valley High School,4324 Dairymans Cir 60564,5.0,3.5,"2,842", Natural Gas, Central Air, 3, 1, 8, 1, Full, Finished,," $11,347.29"
Single Family Residential,$13/month,1994,Lakewood Crossing,"$429,900","$429,900","$2,734", 2, Metea Valley High School,1207 Samuel Ct 60540,3.0,2.5,"2,269"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 0, Full, Finished,," $6,972.80"
Single Family Residential,,1969,Burr Oaks,"$899,900","$899,900","$6,032", 2, Naperville Central High School,8S260 College Rd 60540,4.0,3.5,"3,280"," Natural Gas, Forced Air", Central Air, 3, 1, 2, 8, Full, Unfinished,," $18,630.64"
Condo,$386/month,1980,Naperville,"$169,500","$169,500","$1,410", 2,,5s100 Pebblewood Ln 60563,2.0,1.5,927, Forced Air, Central Air, 1, 1, 0, 4,, None,," $2,168.86"
Single Family Residential,$45/month,1988,Knolls of Huntington,"$699,000","$699,000","$4,641", 2, Naperville North High School,817 Turnbridge Cir 60540,5.0,4,"3,800", Natural Gas, Central Air, 4,, 4, 6, Full, Finished,," $13,392.24"
Single Family Residential,,1954,Naperville,"$2,499,000","$2,499,000","$15,075", 3, Naperville North High School,7S460 Donwood Dr W 60540,3.0,4,"6,294", Radiant, Central Air, 3, 2, 5, 4, Partial," Finished,Rec/Family Area,Storage Space"," 1,159"," $31,616.38"
Single Family Residential,$75/month,1988,White Eagle,"$695,000","$695,000","$4,775", 3, Waubonsie Valley High School,4042 Broadmoor Cir 60564,5.0,3,"4,149"," Natural Gas, Forced Air"," Central Air, Zoned", 3,, 0, 0, Full, Finished,," $14,876.72"
Vacant Land,,,Naperville,"$340,000","$340,000","$1,955",, Naperville Central High School,44 Oak Bluff Ct 60565,,,,,,,, 0, 0,,,," $3,152.54"
Single Family Residential,,1923,Naperville,"$475,000","$475,000","$3,032", 6, Naperville North High School,835 N Center St 60563,4.0,2.5,"1,550"," Natural Gas, Forced Air", Central Air, 2, 1, 3, 0, Full, Partially Finished,," $8,012.76"
Single Family Residential,$28/month,2012,Reserve at Century Trace,"$999,000","$999,000","$6,509", 3, Neuqua Valley High School,11542 Century Cir 60585,5.0,6,"6,403"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 6,, 6, 7," Full, Walkout"," Finished,Exterior Access,9 ft + pour,Rec/Family Area"," 2,160"," $18,090.88"
Single Family Residential,,1982,Naperville,"$574,500","$574,500","$3,811", 2.5,,Undisclosed address 60563,4.0,3.5,"3,300", Natural Gas, Central Air, 3, 1, 0, 0, Full," Bathroom Rough-In,Concrete (Basement)",," $11,407.78"
Single Family Residential,$61/month,2004,Tall Grass,"$769,900","$769,900","$5,130", 3, Waubonsie Valley High School,2704 Mistflower Ln 60564,4.0,3.5,"3,625"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 2, Full," Unfinished,Exterior Access",," $14,840"
Single Family Residential,$8/month,1989,Tamarack Fairways,"$825,000","$825,000","$5,279", 3, Neuqua Valley High School,24304 Woodhall Dr 60564,4.0,4,"3,888"," Natural Gas, Forced Air", Central Air, 4,, 5, 7, Full," Finished,Crawl,Rec/Family Area,Sleeping Area,Storage Space",," $13,970.98"
Condo,$183/month,2000,Naperville,"$285,000","$285,000","$1,940", 1,,2435 Sheehan Dr 60564,2.0,2,"1,139", Natural Gas, Central Air, 2,, 0, 0,, None,," $4,064"
Single Family Residential,,1987,Naperville,"$449,900","$449,900","$2,974", 2, Waubonsie Valley High School,1297 Gregory Ct 60565,4.0,2.5,"2,455", Natural Gas, Central Air, 2, 1, 4, 1, Full, Unfinished,," $8,810.16"
Townhouse,$220/month,1995,Estes Park,"$250,000","$250,000","$1,868", 1, Metea Valley High School,1108 Vail Ct 60540,3.0,2.5,"1,499"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 0,, None,," $4,846.72"
Single Family Residential,,1978,Naperville,"$589,000","$589,000","$3,692", 2,,904 Carlson Ct 60563,4.0,2.5,"2,573", Natural Gas, Central Air, 2, 1, 4, 6, Full, Unfinished,," $9,120.38"
Single Family Residential,$29/month,2014,Thornberry Woods,"$749,900","$749,900","$5,118", 3, Naperville Central High School,3829 Gladstone Dr 60565,5.0,4.5,"3,546"," Natural Gas, Electric", Central Air, 4, 1, 6, 4, Full," Finished,Exterior Access",," $16,265"
Condo,$433/month,1974,Pebblewood,"$155,000","$155,000","$1,394", 1, Metea Valley High School,5S040 Pebblewood Ln 60563,2.0,1.5,"1,095", Radiant, Central Air, 1, 1, 3, 0,, None,," $2,276"
Condo,$427/month,1974,Naperville,"$147,500","$147,500","$1,350", 1,,5S040 Pebblewood Ln 60563,2.0,1.5,"1,070", Natural Gas, Central Air, 1, 1, 5, 0,, None,," $2,265.20"
Single Family Residential,,1987,Country Lakes,"$475,000","$475,000","$3,159", 2, Metea Valley High School,1124 Burke Ct 60563,5.0,3.5,"3,979", Natural Gas, Central Air, 3, 1, 7, 4, Full, Finished," 1,271"," $9,526.28"
Condo,$233/month,1998,River Bend,"$279,900","$279,900","$2,007", 1, Naperville Central High School,471 River Bend Rd 60540,2.0,2.5,"1,250"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 1,, None,," $4,570.88"
Condo,$392/month,2008,Mayfair,"$449,500","$449,500","$3,384", 2,,2769 Blakely Ln 60540,3.0,2.5,"1,985"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 4, Full," Unfinished,Bathroom Rough-In",," $9,048"
Single Family Residential,$13/month,1994,Lakewood Crossing,"$515,000","$515,000","$3,371", 2, Metea Valley High School,1104 Mallory Ct 60540,4.0,2.5,"2,360", Natural Gas, Central Air, 2, 1, 8, 0, Partial," Finished,Crawl",," $9,528.48"
Single Family Residential,$25/month,1997,River Run,"$835,000","$835,000","$5,432", 3, Neuqua Valley High School,1759 Baybrook Ln 60564,5.0,4.5,"3,711", Natural Gas, Central Air, 4, 1, 3, 7, Partial," Finished,Crawl",," $15,001.24"
Townhouse,$305/month,1998,Riverbrook,"$265,000","$265,000","$1,985", 1,,1319 Sugar Ct 60563,2.0,1.5,"1,428"," Natural Gas, Forced Air", Central Air, 1, 1, 2, 1,, None,," $4,324.32"
Townhouse,$450/month,2005,Naperville Station,"$550,000","$550,000","$4,180", 2.5,,257 Boxcar Ave 60540,3.0,3,"2,717", Natural Gas, Central Air, 2, 2, 4, 5, Full, Partially Finished,," $11,906"
Single Family Residential,,1965,Naperville,"$400,000","$400,000","$2,535", 2,,436 Tupelo Ave 60540,3.0,2,"1,392", Natural Gas, Central Air, 2,, 0, 0, Partial, Finished,," $6,527"
Townhouse,$333/month,2000,Riverbrook West,"$299,900","$299,900","$2,257", 2, Metea Valley High School,1756 Windward Ave 60563,3.0,2.5,"1,538"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 0, Full, Finished,," $5,169.80"
Single Family Residential,,2018,East Highlands,"$1,785,000","$1,785,000","$11,357", 3, Naperville Central High School,724 S Wright St 60540,4.0,5.5,"4,100", Natural Gas, Central Air, 5, 1, 4, 6, Full, Finished,," $29,645.30"
Single Family Residential,$4/month,1987,Winding Creek,"$565,000","$565,000","$3,678", 2, Naperville Central High School,448 Prairie Knoll Dr 60565,4.0,2.5,"2,761"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 4, Full, Unfinished,," $10,331.08"
Single Family Residential,,2022,Naperville,"$2,850,000","$2,850,000","$15,169", 3, Naperville North High School,324 S Julian St 60540,6.0,6.5,"5,828"," Natural Gas, Electric"," Central Air, Zoned, Gas", 6, 1, 1, 10, Full," Unfinished,Crawl,Bathroom Rough-In,Concrete (Basement),Storage Space"," 2,361"," $11,774.68"
Single Family Residential,,1984,Campus Green,"$575,000","$575,000","$3,611", 2, Naperville Central High School,1800 Princeton Cir 60565,4.0,2.5,"2,746", Natural Gas, Central Air, 2, 1, 1, 4, Full, Finished,," $8,983.56"
Single Family Residential,,1976,Pembroke Greens,"$585,000","$585,000","$3,776", 2.5, Naperville North High School,549 Olesen Dr 60540,5.0,2.5,"2,579", Natural Gas, Central Air, 2, 1, 0, 9, Full," Finished,Storage Space"," 1,390"," $10,366.78"
Townhouse,$309/month,1998,Carrolwood,"$259,900","$259,900","$1,937", 1, Metea Valley High School,2535 Carrolwood Rd 60540,2.0,2.5,"1,324"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 0,, None,," $4,004"
Single Family Residential,,1958,Naperville,"$480,000","$480,000","$3,182", 2.5,,1065 Prairie Ave 60540,4.0,2,"1,903"," Natural Gas, Electric", Central Air, 2,, 0, 0, Full, Unfinished,," $9,508.68"
Single Family Residential,,1984,Brookdale,"$369,000","$369,000","$2,420", 2, Metea Valley High School,1709 Paddington Ave 60563,3.0,2.5,"1,560"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 0, Partial, Finished,," $6,996.10"
Single Family Residential,$63/month,2004,Tall Grass,"$869,900","$869,900","$5,607", 3, Waubonsie Valley High School,3955 Bluejay Ln 60564,5.0,5,"3,700"," Natural Gas, Forced Air", Central Air, 5,, 0, 9, Full, Finished,," $14,560"
Single Family Residential,$75/month,2000,White Eagle,"$780,000","$780,000","$5,008", 3, Waubonsie Valley High School,3532 Scottsdale Cir 60564,3.0,2.5,"2,885"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 2, Full, Unfinished,," $12,601"
Townhouse,$338/month,2018,Columbia Park Townes,"$449,900","$449,900","$3,342", 7, Naperville North High School,940 Coletta Cir 60563,3.0,3,"2,185", Natural Gas, Central Air, 2, 2, 4, 4,, Slab,," $9,172.44"
Single Family Residential,$17/month,1997,High Meadow,"$619,000","$619,000","$3,949", 3, Neuqua Valley High School,2523 Wild Timothy Rd 60564,5.0,2.5,"2,845"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 4, Full," Finished,Crawl",," $10,209.98"
Single Family Residential,,1980,Brush Hill,"$575,000","$575,000","$3,539", 2, Naperville North High School,106 N Whispering Hills Dr 60540,4.0,2.5,"2,214"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 3, Full, Partially Finished,," $8,117.66"
Single Family Residential,,1995,Eagle Pointe,"$424,900","$424,900","$2,838", 2, Waubonsie Valley High School,1679 Charlotte Cir 60564,3.0,3.5,"2,000", Natural Gas, Central Air, 3, 1, 4, 3, Full, Finished,," $8,671.02"
Single Family Residential,$29/month,1998,Naperville,"$800,000","$800,000","$5,203", 3, Neuqua Valley High School,2308 Sisters Ave 60564,5.0,4.5,"4,500"," Natural Gas, Forced Air", Central Air, 4, 1, 13, 3," Full, Walkout"," Finished,Exterior Access",," $14,300"
Single Family Residential,$61/month,2001,Tall Grass,"$769,334","$769,334","$5,247", 2.5, Waubonsie Valley High School,3807 Horizon Ct 60564,5.0,4,"4,031"," Natural Gas, Forced Air", Central Air, 4,, 1, 10," Full, Walkout", Unfinished,," $16,273.68"
Single Family Residential,$48/month,2014,Ashwood Pointe,"$649,900","$649,900","$4,232", 2, Waubonsie Valley High School,3736 Honey Locust Dr 60564,5.0,3.5,"3,213"," Natural Gas, Forced Air", Central Air, 3, 1, 6, 4, Full," Unfinished,Bathroom Rough-In",," $11,385"
Vacant Land,,,Naperville,"$661,500","$661,500","$3,564",, Neuqua Valley High School,Lot 3 103rd St 60564,,,1.41,,,,, 0, 0,, None,," $3,255"
Single Family Residential,,1979,Naperville,"$499,000","$499,000","$3,040", 2, Metea Valley High School,5S511 Bonnie Ct 60563,4.0,2.5,"2,072"," Natural Gas, Forced Air", Central Air, 2, 1, 7, 2, Full, Finished," 1,114"," $6,668.78"
Vacant Land,,,Naperville,"$668,500","$668,500","$3,599",, Neuqua Valley High School,Lot 2 103rd St 60564,,,1.49,,,,, 0, 0,, None,," $3,255"
Vacant Land,,,Naperville,"$655,500","$655,500","$3,535",, Neuqua Valley High School,24531 103rd St 60564,,,1.35,,,,, 0, 0,, None,," $3,255"
Single Family Residential,,2022,Saybrook,"$1,549,000","$1,549,000","$8,508", 3, Naperville North High School,417 Bayberry Ln 60563,4.0,4,"3,800"," Natural Gas, Forced Air", Central Air, 4,, 0, 0, Full," Unfinished,Bathroom Rough-In",,
Single Family Residential,$8/month,1988,Knoch Knolls,"$649,900","$649,900","$3,320", 2.5, Neuqua Valley High School,440 Du Pahze St 60565,4.0,2.5,"3,112", Natural Gas, Central Air, 2, 1, 9, 3, Full," Finished,Crawl",, $914.24
Single Family Residential,$17/month,1994,High Meadow,"$545,000","$545,000","$3,509", 2, Neuqua Valley High School,5319 Sand Lily Dr 60564,3.0,2.5,"2,219"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 3, Full, Finished, 825," $9,351.70"
Single Family Residential,$8/month,2015,Green Acres,"$3,400,000","$3,400,000","$21,190", 4, Naperville Central High School,27W675 South Ln 60540,6.0,7,"7,693"," Natural Gas, Forced Air, Steam, Zoned"," Central Air, Zoned", 6, 2, 0, 17, Full," Unfinished,Exterior Access,Bathroom Rough-In,Egress Window",," $51,072.16"
Single Family Residential,$75/month,1996,White Eagle,"$744,900","$744,900","$4,820", 3,,3648 White Eagle Dr 60564,5.0,3,"3,000"," Natural Gas, Forced Air", Central Air, 3,, 7, 4, Full, Finished,," $12,436.18"
Single Family Residential,$17/month,1999,High Meadow,"$639,000","$639,000","$4,063", 2.5, Neuqua Valley High School,2628 Wild Timothy Rd 60564,5.0,3.5,"3,200"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 0," Full, English", Finished,," $10,379.58"
Single Family Residential,,2023,East Highlands,"$1,649,900","$1,649,900","$8,365", 3, Naperville Central High School,842 Wellner Rd 60540,4.0,3.5,"3,696"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 4, Full," Unfinished,9 ft + pour",,
Single Family Residential,$260/month,2000,White Eagle,"$859,000","$859,000","$5,924", 3, Waubonsie Valley High School,3572 Scottsdale Cir 60564,7.0,5,"4,430", Natural Gas, Central Air, 5,, 11, 6, Full, Finished," 2,007"," $16,657.94"
Single Family Residential,,1984,Naperville,"$469,000","$469,000","$2,979", 2.5, Neuqua Valley High School,10439 S Helene Ave 60564,3.0,2,"2,088"," Natural Gas, Forced Air", Central Air, 2,, 3, 3, Partial, Partially Finished, 789," $7,736"
Single Family Residential,$6/month,1997,Ivy Ridge,"$571,500","$571,500","$3,773", 2, Metea Valley High School,844 Fieldcrest Dr 60540,4.0,3.5,"3,218"," Natural Gas, Forced Air", Central Air, 3, 1, 5, 5, Full, Finished," 1,254"," $11,065.46"
Single Family Residential,,1970,Pembroke Greens,"$575,000","$575,000","$3,649", 2, Naperville North High School,1216 Elizabeth Ave 60540,3.0,2,"2,048"," Natural Gas, Forced Air", Central Air, 2,, 2, 6, Partial," Partially Finished,Crawl"," 1,536"," $9,435.98"
Single Family Residential,,1971,Cress Creek,"$924,000","$924,000","$5,825", 2.5, Naperville North High School,1205 Heatherton Dr 60563,4.0,3.5,"3,765"," Natural Gas, Zoned", Central Air, 3, 1, 3, 13, Full," Partially Finished,9 ft + pour",,
Single Family Residential,$50/month,1996,Ashbury,"$600,000","$600,000","$3,936", 2.5, Neuqua Valley High School,1336 Saxon Ln 60564,4.0,3.5,"2,750"," Natural Gas, Forced Air", Central Air, 3, 1, 10, 1, Full," Partially Finished,Crawl,Rec/Family Area"," 1,168"," $10,786"
Single Family Residential,$19/month,1998,Harmony Grove,"$550,000","$550,000","$3,688", 2, Neuqua Valley High School,2740 Fairhauser Rd 60564,4.0,2.5,"2,780"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 1, Full, Unfinished,," $11,166"
Townhouse,$336/month,2022,Naper Commons,"$539,742","$539,742","$3,603", 2,,2232 Naperville Rd 60563,3.0,2.5,"2,100", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Single Family Residential,,1996,Naperville,"$475,000","$475,000","$2,931", 2, Neuqua Valley High School,2520 Boddington Ln 60564,5.0,3,"2,650", Natural Gas, Central Air, 3,, 0, 2, Full," Unfinished,Crawl"," 1,008"," $6,794.08"
Single Family Residential,,2018,Naperville,"$1,320,000","$1,320,000","$8,310", 3, Naperville North High School,820 Douglas Ave 60540,5.0,4.5,"3,150", Natural Gas, Central Air, 4, 1, 3, 3, Full, Finished,," $20,864"
Townhouse,$251/month,1998,Crosswinds,"$224,900","$224,900","$1,648", 1, Neuqua Valley High School,2131 Fulham Dr 60564,2.0,1.5,"1,367"," Natural Gas, Forced Air", Central Air, 1, 1, 3, 2,, None,,
Condo,$293/month,1985,Naperville,"$175,900","$175,900","$1,423", 1, Naperville Central High School,1755 S Washington St 60565,2.0,2,"1,100", Natural Gas, Central Air, 2,, 0, 0,, None,," $3,047.54"
Single Family Residential,$28/month,2002,Century Trace,"$570,000","$570,000","$3,842", 3, Neuqua Valley High School,11550 Legacy Dr 60585,4.0,2.5,"3,561"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 2, 1, 8, 2, Full, Unfinished,," $11,712"
Single Family Residential,,1992,Naperville,"$748,800","$748,800","$4,750", 2, Naperville Central High School,1859 River Ridge Cir 60565,4.0,3.5,"3,603"," Natural Gas, Forced Air", Central Air, 3, 1, 7, 5, Partial," Partially Finished,Crawl"," 1,800"," $12,267.34"
Single Family Residential,,1973,Maplebrook II,"$465,000","$465,000","$2,991", 2, Naperville Central High School,56 Finch Ct 60565,4.0,2.5,"2,307", Natural Gas, Central Air, 2, 1, 8, 0, Partial, Partially Finished, 600," $8,112.46"
Single Family Residential,,2023,Naperville,"$1,375,000","$1,375,000","$7,513", 2, Naperville North High School,660 Eagle St 60563,4.0,3,"3,500", Natural Gas, Central Air, 3,, 4, 4, Full, Unfinished,," $8,020.21"
Single Family Residential,,2021,Naperville,"$1,300,000","$1,300,000","$7,062", 3, Naperville Central High School,323 Elmwood Dr 60540,4.0,3.5,"3,726", Natural Gas, Central Air, 3, 1, 4, 4, Full, Unfinished,," $7,077"
Condo,$438/month,2007,Naperville,"$259,900","$259,900","$2,060", 2, Waubonsie Valley High School,3975 Idlewild Ln 60564,2.0,2,"1,243", Natural Gas, Central Air, 2,, 2, 4,, None,," $3,940.16"
Townhouse,$285/month,1994,Rose Hill Farm,"$335,000","$335,000","$2,324", 2, Neuqua Valley High School,3908 Vesper Ct 60564,2.0,2.5,"1,700", Natural Gas, Central Air, 2, 1, 4, 0, Full, Unfinished,," $4,458"
Townhouse,$325/month,1989,The Fields,"$449,900","$449,900","$3,149", 2,,907 Heathrow Ln 60540,2.0,3,"1,522", Natural Gas, Central Air, 3,, 4, 0, Full, Partially Finished," 1,522"," $7,015.40"
Single Family Residential,,1985,Naperville,"$512,500","$512,500","$3,224", 5, Naperville Central High School,1628 Carnegie Ct 60565,4.0,3.5,"2,400"," Natural Gas, Forced Air", Central Air, 3, 1, 7, 0, Full," Partially Finished,Crawl,Egress Window,Rec/Family Area,Sleeping Area,Storage Space"," 1,200"," $8,073.52"
Single Family Residential,,1990,University Heights,"$479,900","$479,900","$3,219", 2, Naperville Central High School,1620 Canyon Run Rd 60565,4.0,2.5,"2,897", Natural Gas, Central Air, 2, 1, 7, 1, Full, Finished,," $9,963.70"
Condo,$326/month,1989,Valley Condominiums,"$199,900","$199,900","$1,621", 1,,457 Valley Dr 60563,2.0,2,"1,198"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $3,597.28"
Townhouse,$278/month,2001,Enclave at Country Lakes,"$285,000","$285,000","$2,123", 3,,922 Genesee Dr 60563,3.0,3,"1,196", Natural Gas, Central Air, 3,, 0, 0," Full, English", Finished,," $5,115.50"
Single Family Residential,$122/month,2006,Ashwood Park,"$990,000","$990,000","$6,511", 3, Waubonsie Valley High School,4128 Teak Cir 60564,5.0,5.5,"4,200"," Natural Gas, Forced Air", Central Air, 5, 1, 10, 4, Full, Finished,," $17,526"
Single Family Residential,$85/month,1999,White Eagle,"$1,049,900","$1,049,900","$6,581", 3, Waubonsie Valley High School,2712 Deering Bay Dr 60564,5.0,4.5,"4,500", Natural Gas, Central Air, 4, 1, 2, 9, Full, Finished," 1,564"," $15,234.92"
Single Family Residential,$33/month,1977,Huntington Estates,"$600,000","$600,000","$3,891", 2, Naperville North High School,986 Rossmere Ct 60540,4.0,2.5,"3,062", Natural Gas, Central Air, 2, 1, 5, 3, Full, Unfinished,," $10,458.96"
Townhouse,$327/month,2001,Enclave at Country Lakes,"$250,000","$250,000","$1,930", 1, Metea Valley High School,937 Genesee Dr 60563,2.0,2,"1,510"," Natural Gas, Forced Air", Central Air, 2,, 5, 0,, None,," $4,303"
Condo,$216/month,2004,Naperville,"$265,000","$265,000","$1,888", 1, Neuqua Valley High School,2803 Rutland Cir 60564,2.0,2,"1,240", Natural Gas, Central Air, 2,, 1, 0,, Slab,," $4,232.14"
Single Family Residential,$13/month,1994,Lakewood Crossing,"$389,900","$389,900","$2,504", 2, Metea Valley High School,1120 Lakewood Cir 60540,3.0,1.5,"1,446", Natural Gas, Central Air, 1, 1, 0, 0, Full, Partially Finished,," $6,600"
Single Family Residential,$53/month,1981,Hobson West,"$639,900","$639,900","$4,240", 3, Naperville Central High School,905 Sumter Ct 60540,4.0,3.5,"3,121", Natural Gas, Central Air, 3, 1, 4, 6, Full, Finished,," $12,018.52"
Single Family Residential,,2003,Naperville,"$1,550,000","$1,550,000","$10,258", 3, Naperville North High School,425 W Franklin Ave 60540,5.0,5.5,"5,206", Natural Gas, Central Air, 5, 1, 8, 5, Full, Finished," 2,500"," $30,505.90"
Single Family Residential,,1960,Aero Estates,"$395,000","$395,000","$2,535", 2, Neuqua Valley High School,9S104 Aero Dr 60564,3.0,1.5,"2,003"," Natural Gas, Forced Air, Steam, Baseboard", Central Air, 1, 1, 0, 3, Partial," Unfinished,Crawl,Sub-Basement",," $6,819.80"
Single Family Residential,,2023,East Highlands,"$1,557,000","$1,557,000","$8,439", 3, Naperville Central High School,646 Wehrli Dr 60540,4.0,4,"3,900"," Natural Gas, Zoned", Central Air, 4,, 4, 8," Full, English", Unfinished,," $8,257.22"
Single Family Residential,$19/month,1998,Harmony Grove,"$529,999","$529,999","$3,519", 3, Neuqua Valley High School,2628 Hoddam Rd 60564,4.0,3.5,"2,617"," Natural Gas, Forced Air", Central Air, 3, 1, 10, 3, Full, Finished,," $10,336.72"
Single Family Residential,$8/month,1987,Tamarack Fairways,"$649,900","$649,900","$4,192", 3, Neuqua Valley High School,24104 Ascot Ct 60564,5.0,3.5,"3,018"," Natural Gas, Forced Air", Central Air, 3, 1, 4, 7, Partial, Finished,," $11,385.10"
Single Family Residential,,1985,Naperville,,,"$4,086",,,10S558 Curtis Ln 60564,4.0,3.5,"2,700",,,,, 0, 0,,,,
Single Family Residential,$75/month,2018,Atwater,"$674,900","$674,900","$4,417", 2, Metea Valley High School,2404 Coastal Sage Ct 60563,4.0,2.5,"3,125"," Natural Gas, Forced Air", Central Air, 2, 1, 9, 7, Full, Unfinished,," $11,784.46"
Single Family Residential,$122/month,2016,Ashwood Park,"$929,000","$929,000","$6,076", 3, Neuqua Valley High School,4003 Chinaberry Ln 60564,5.0,5.5,"3,400", Natural Gas, Central Air, 5, 1, 10, 5, Full, Finished,," $15,955"
